Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY18,Nov,Albert - Eden,Pt Chevalier,13537
FY18,Nov,Franklin,Pukekohe,23559
FY18,Nov,Henderson - Massey,Ranui,9329
FY18,Nov,Orakei,Remuera,27156
FY18,Nov,Orakei,St Heliers,32065
FY18,Nov,Devonport - Takapuna,Takapuna,32656
FY18,Nov,Henderson - Massey,Te Atatu Peninsula,13033
FY18,Nov,Henderson - Massey,Te Manawa,0
FY18,Nov,Waitakere Ranges,Titirangi,5038
FY18,Nov,Otara-Papatoetoe,Tupu,943
FY18,Nov,Waiheke,Waiheke,10243
FY18,Nov,Franklin,Waiuku,8930
FY18,Nov,Rodney,Warkworth,11814
FY18,Nov,Rodney,Wellsford,5278
FY18,Nov,Hibiscus and Bays,Whangaparaoa,19939
FY18,Dec,Upper Harbour,Albany Village,19410
FY18,Dec,Other,Art Gallery,10
FY18,Dec,Whau,Avondale,7793
FY18,Dec,Kaipatiki,Birkenhead,19469
FY18,Dec,Whau,Blockhouse Bay,17613
FY18,Dec,Howick,Botany,28276
FY18,Dec,Waitemata,Central City,31696
FY18,Dec,Manurewa,Clendon,3197
FY18,Dec,Other,Content and Access,133
FY18,Dec,Other,Corporate,50
FY18,Dec,Other,Debt,0
FY18,Dec,Devonport - Takapuna,Devonport,17957
FY18,Dec,Other,Digital Library,0
FY18,Dec,Hibiscus and Bays,East Coast Bays,46402
FY18,Dec,Albert - Eden,Epsom,24114
FY18,Dec,Other,Events Library,22
FY18,Dec,Waitakere Ranges,Glen Eden,16781
FY18,Dec,Maungakiekie-Tamaki,Glen Innes,6015
FY18,Dec,Kaipatiki,Glenfield,26118
FY18,Dec,Great Barrier,Great Barrier,939
FY18,Dec,Waitemata,Grey Lynn,10426
FY18,Dec,Rodney,Helensville,4967
FY18,Dec,Henderson - Massey,Henderson,20169
FY18,Dec,Howick,Highland Park,27368
FY18,Dec,Howick,Howick,25149
FY18,Dec,Rodney,Kumeu,10959
FY18,Dec,Waitemata,Leys Institute,9896
FY18,Dec,Waitemata,Leys Institute Little,0
FY18,Dec,Other,Library Connect,101
FY18,Dec,Rodney,Mahurangi East,6423
FY18,Dec,Mangere-Otahuhu,Mangere Bridge,8440
FY18,Dec,Mangere-Otahuhu,Mangere East,2200
FY18,Dec,Mangere-Otahuhu,Mangere Town Centre,2515
FY18,Dec,Otara-Papatoetoe,Manukau,7780
FY18,Dec,Manurewa,Manurewa,14946
FY18,Dec,Henderson - Massey,Massey,23598
FY18,Dec,Mobile Libraries,Mobile Central,821
FY18,Dec,Mobile Libraries,Mobile North,1073
FY18,Dec,Mobile Libraries,Mobile South & East,2468
FY18,Dec,Mobile Libraries,Mobile West & Central,885
FY18,Dec,Albert - Eden,Mt Albert,30685
FY18,Dec,Puketapapa,Mt Roskill,31393
FY18,Dec,Whau,New Lynn,20083
FY18,Dec,Kaipatiki,Northcote,11202
FY18,Dec,Maungakiekie-Tamaki,Onehunga,15750
FY18,Dec,Other,Online Renewals,0
FY18,Dec,Hibiscus and Bays,Orewa,28194
FY18,Dec,Mangere-Otahuhu,Otahuhu,3958
FY18,Dec,Otara-Papatoetoe,Otara,1425
FY18,Dec,Other,Other,0
FY18,Dec,Howick,Pakuranga,19864
FY18,Dec,Maungakiekie-Tamaki,Panmure,11251
FY18,Dec,Papakura,Papakura,21123
FY18,Dec,Otara-Papatoetoe,Papatoetoe,9723
FY18,Dec,Waitemata,Parnell,10043
FY18,Dec,Albert - Eden,Pt Chevalier,13031
FY18,Dec,Franklin,Pukekohe,21613
FY18,Dec,Henderson - Massey,Ranui,8751
FY18,Dec,Orakei,Remuera,28625
FY18,Dec,Orakei,St Heliers,32213
FY18,Dec,Devonport - Takapuna,Takapuna,33005
FY18,Dec,Henderson - Massey,Te Atatu Peninsula,13061
FY18,Dec,Henderson - Massey,Te Manawa,0
FY18,Dec,Waitakere Ranges,Titirangi,13010
FY18,Dec,Otara-Papatoetoe,Tupu,932
FY18,Dec,Waiheke,Waiheke,10834
FY18,Dec,Franklin,Waiuku,8411
FY18,Dec,Rodney,Warkworth,12342
FY18,Dec,Rodney,Wellsford,5258
FY18,Dec,Hibiscus and Bays,Whangaparaoa,20165
FY18,Jan,Upper Harbour,Albany Village,22360
FY18,Jan,Other,Art Gallery,23
FY18,Jan,Whau,Avondale,8669
FY18,Jan,Kaipatiki,Birkenhead,23065
FY18,Jan,Whau,Blockhouse Bay,19767
FY18,Jan,Howick,Botany,33228
FY18,Jan,Waitemata,Central City,34119
FY18,Jan,Manurewa,Clendon,4120
FY18,Jan,Other,Content and Access,185
FY18,Jan,Other,Corporate,47
FY18,Jan,Other,Debt,0
FY18,Jan,Devonport - Takapuna,Devonport,21291
FY18,Jan,Other,Digital Library,0
FY18,Jan,Hibiscus and Bays,East Coast Bays,49556
